"store","store_id","websites","attribute_set","type","configurable_attributes","_super_attribute_code","category_ids","sku","associated","name","manufacturer","mfg_model","aw_callforprice","msrp_enabled","msrp_display_actual_price_type","msrp","price","special_price","special_from_date","special_to_date","weight","tax_class_id","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","status","visibility","is_recurring","url_key","url_path","meta_title","meta_description","meta_keyword","image_label","small_image_label","thumbnail_label","image","small_image","thumbnail","media_gallery","description","short_description","feature_1","feature_2","feature_3","feature_4","rug_color","rug_shape","rug_style","rug_nav","rug_size","rug_material","mfg_collection","assembly_req","country_of_manufacture","ship_type","lead_time","enable_googlecheckout","gift_message_available","has_options","custom_layout_update","page_layout","options_container","custom_design","custom_design_from","custom_design_to","news_from_date","news_to_date","reward_no_discount","reward_points","product_name","product_type_id","product_status_changed","product_changed_websites","recurring_profile","shipping_height","shipping_width","shipping_length","pile_height","construction","stain_resistant","fire_resistant","care_cleaning","warranty"
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-0635F-SNS000-2' x 3'","","Feizy Sargasso I Rug in Sunset-2' x 3'","Feizy","0635F","","Use config","Use config","","117","39","","","1.56","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Sargasso I Rug in Sunset-2' x 3'","","","","","","595-0635F-SNS000","595-0635F-SNS000","595-0635F-SNS000","","The easy styling of Feizy Rugs' Sargasso Collection is a perfect complement to indoor and outdoor settings alike.  Hand loomed of recycled PET, these eco-friendly rugs are flexible, fun and durable.   Available in a range of colors and designs, each  piece creates a setting of casual comfort.","","","","","","Oranges/Rust","Rectangle","Stripes","2' x 3'","2' x 3'","PET","Sargasso I","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","3","3","24","","Hand loomed of recycled polyethylene terephthalate (PET).","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3840F-BLKDGY-2'-2"" x 4'","","Feizy Azeri Rug in Black / Dark Gray-2'-2"" x 4'","Feizy","3840F","","Use config","Use config","","321","107","","","4.77","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black / Dark Gray-2'-2"" x 4'","","","","","","596-3840F-BLKDGY","596-3840F-BLKDGY","596-3840F-BLKDGY","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","","Rectangle","Transitional","2' x 4'","2'2"" x 4'","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","5","5","26","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3840F-BLKDGY-5' x 8'","","Feizy Azeri Rug in Black / Dark Gray-5' x 8'","Feizy","3840F","","Use config","Use config","","1473","491","","","22","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black / Dark Gray-5' x 8'","","","","","","596-3840F-BLKDGY","596-3840F-BLKDGY","596-3840F-BLKDGY","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","","Rectangle","Transitional","5' x 8'","5' x 8'","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","8","8","60","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3840F-BLKDGY-7'-10"" x 11'","","Feizy Azeri Rug in Black / Dark Gray-7'-10"" x 11'","Feizy","3840F","","Use config","Use config","","3174","1058","","","47.39","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black / Dark Gray-7'-10"" x 11'","","","","","","596-3840F-BLKDGY","596-3840F-BLKDGY","596-3840F-BLKDGY","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","","Rectangle","Transitional","Miscellaneous","7'10"" x 11'","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","8","8","96","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3840F-BLKDGY-10' X 13'-2""","","Feizy Azeri Rug in Black / Dark Gray-10' X 13'-2""","Feizy","3840F","","Use config","Use config","","4851","1617","","","72.42","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black / Dark Gray-10' X 13'-2""","","","","","","596-3840F-BLKDGY","596-3840F-BLKDGY","596-3840F-BLKDGY","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","","","Transitional","","","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","10","10","120","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3840F-BLKDGY-2'-10"" X 7'-10""","","Feizy Azeri Rug in Black / Dark Gray-2'-10"" X 7'-10""","Feizy","3840F","","Use config","Use config","","819","273","","","12.2","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black / Dark Gray-2'-10"" X 7'-10""","","","","","","596-3840F-BLKDGY","596-3840F-BLKDGY","596-3840F-BLKDGY","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","","","Transitional","","","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","8","8","32","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3841F-BLKMLT-2'-2"" x 4'","","Feizy Azeri Rug in Black/Multi-2'-2"" x 4'","Feizy","3841F","","Use config","Use config","","321","107","","","4.77","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black/Multi-2'-2"" x 4'","","","","","","596-3841F-BLKMLT","596-3841F-BLKMLT","596-3841F-BLKMLT","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","Blacks","Rectangle","Transitional","2' x 4'","2'2"" x 4'","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","5","5","26","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3841F-BLKMLT-5' x 8'","","Feizy Azeri Rug in Black/Multi-5' x 8'","Feizy","3841F","","Use config","Use config","","1473","491","","","22","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black/Multi-5' x 8'","","","","","","596-3841F-BLKMLT","596-3841F-BLKMLT","596-3841F-BLKMLT","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","Blacks","Rectangle","Transitional","5' x 8'","5' x 8'","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","8","8","60","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3841F-BLKMLT-7'-10"" x 11'","","Feizy Azeri Rug in Black/Multi-7'-10"" x 11'","Feizy","3841F","","Use config","Use config","","3174","1058","","","47.39","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black/Multi-7'-10"" x 11'","","","","","","596-3841F-BLKMLT","596-3841F-BLKMLT","596-3841F-BLKMLT","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","Blacks","Rectangle","Transitional","Miscellaneous","7'10"" x 11'","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","8","8","96","","Power loomed in Turkey with a wool and art silk pile.","","","",""
"admin","0","Base","Rugs","simple","","","90,6","FEIZY-3841F-BLKMLT-10' X 13'-2""","","Feizy Azeri Rug in Black/Multi-10' X 13'-2""","Feizy","3841F","","Use config","Use config","","4851","1617","","","72.42","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Feizy Azeri Rug in Black/Multi-10' X 13'-2""","","","","","","596-3841F-BLKMLT","596-3841F-BLKMLT","596-3841F-BLKMLT","","The Azeri Collections feature soft contemporary and transitional designs power loomed in a plush pile of wool with art silk highlights.  Ikat, erased traditional and intricate iron-work designs are woven in a variety of palettes that feature hues of gray ranging from silver to charcoal, chocolate and ecru.  Superior softness and striking highlights are the hallmarks of these designs.","","","","","","Blacks","","Transitional","","","Wool and art silk","Azeri","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","","simple","","","","10","10","120","","Power loomed in Turkey with a wool and art silk pile.","","","",""
