"store","store_id","websites","attribute_set","type","configurable_attributes","_super_attribute_code","category_ids","sku","associated","name","manufacturer","mfg_model","aw_callforprice","msrp_enabled","msrp_display_actual_price_type","msrp","price","special_price","special_from_date","special_to_date","weight","tax_class_id","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","status","visibility","is_recurring","url_key","url_path","meta_title","meta_description","meta_keyword","image_label","small_image_label","thumbnail_label","image","small_image","thumbnail","media_gallery","description","short_description","feature_1","feature_2","feature_3","feature_4","rug_color","rug_shape","rug_style","rug_nav","rug_size","rug_material","mfg_collection","assembly_req","country_of_manufacture","ship_type","lead_time","enable_googlecheckout","gift_message_available","has_options","custom_layout_update","page_layout","options_container","custom_design","custom_design_from","custom_design_to","news_from_date","news_to_date","reward_no_discount","reward_points","product_name","product_type_id","product_status_changed","product_changed_websites","recurring_profile","shipping_height","shipping_width","shipping_length","pile_height","construction","stain_resistant","fire_resistant","care_cleaning","warranty","upc"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083329FTEL000G99-G99","","Rizzy Teal Rug in 48.4-G99","Rizzy","3329F","","Use config","Use config","","654291701902","Running","","","48.4","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Teal Rug in 48.4-G99","","","","","","/rizzy/6083329FTEL000G99.jpg","/rizzy/6083329FTEL000G99.jpg","/rizzy/6083329FTEL000G99.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Teal Rug in 48.4-G99","simple","","","","517","684","199","132-Pile Height","Hand Knotted","","","8","","TEL000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083329FTEL000H13-H13","","Rizzy Teal Rug in 72.42-H13","Rizzy","3329F","","Use config","Use config","","654291702022","Running","","","72.42","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Teal Rug in 72.42-H13","","","","","","/rizzy/6083329FTEL000H13.jpg","/rizzy/6083329FTEL000H13.jpg","/rizzy/6083329FTEL000H13.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Teal Rug in 72.42-H13","simple","","","","819","1082","315","158-Pile Height","Hand Knotted","","","12","","TEL000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083329FTEL000I71-I71","","Rizzy Teal Rug in 12.2-I71","Rizzy","3329F","","Use config","Use config","","654291702107","Running","","","12.2","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Teal Rug in 12.2-I71","","","","","","/rizzy/6083329FTEL000I71.jpg","/rizzy/6083329FTEL000I71.jpg","/rizzy/6083329FTEL000I71.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Teal Rug in 12.2-I71","simple","","","","143","189","55","94-Pile Height","Hand Knotted","","","8","","TEL000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083331FPSC000A22-A22","","Rizzy Pistachio Rug in 4.77-A22","Rizzy","3331F","","Use config","Use config","","654291701636","Running","","","4.77","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Pistachio Rug in 4.77-A22","","","","","","/rizzy/6083331FPSC000A22.jpg","/rizzy/6083331FPSC000A22.jpg","/rizzy/6083331FPSC000A22.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Pistachio Rug in 4.77-A22","simple","","","","57","75","22","48-Pile Height","Hand Knotted","","","4","","PSC000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083331FPSC000E10-E10","","Rizzy Pistachio Rug in 22-E10","Rizzy","3331F","","Use config","Use config","","654291701735","Running","","","22","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Pistachio Rug in 22-E10","","","","","","/rizzy/6083331FPSC000E10.jpg","/rizzy/6083331FPSC000E10.jpg","/rizzy/6083331FPSC000E10.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Pistachio Rug in 22-E10","simple","","","","257","337","99","96-Pile Height","Hand Knotted","","","8","","PSC000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083331FPSC000G99-G99","","Rizzy Pistachio Rug in 48.4-G99","Rizzy","3331F","","Use config","Use config","","654291701926","Running","","","48.4","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Pistachio Rug in 48.4-G99","","","","","","/rizzy/6083331FPSC000G99.jpg","/rizzy/6083331FPSC000G99.jpg","/rizzy/6083331FPSC000G99.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Pistachio Rug in 48.4-G99","simple","","","","517","684","199","132-Pile Height","Hand Knotted","","","8","","PSC000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083331FPSC000H13-H13","","Rizzy Pistachio Rug in 72.42-H13","Rizzy","3331F","","Use config","Use config","","654291702046","Running","","","72.42","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Pistachio Rug in 72.42-H13","","","","","","/rizzy/6083331FPSC000H13.jpg","/rizzy/6083331FPSC000H13.jpg","/rizzy/6083331FPSC000H13.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Pistachio Rug in 72.42-H13","simple","","","","819","1082","315","158-Pile Height","Hand Knotted","","","12","","PSC000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083331FPSC000I71-I71","","Rizzy Pistachio Rug in 12.2-I71","Rizzy","3331F","","Use config","Use config","","654291702121","Running","","","12.2","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Pistachio Rug in 12.2-I71","","","","","","/rizzy/6083331FPSC000I71.jpg","/rizzy/6083331FPSC000I71.jpg","/rizzy/6083331FPSC000I71.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Pistachio Rug in 12.2-I71","simple","","","","143","189","55","94-Pile Height","Hand Knotted","","","8","","PSC000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083332FAZR000A22-A22","","Rizzy Azure Rug in 4.77-A22","Rizzy","3332F","","Use config","Use config","","654291701643","Running","","","4.77","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Azure Rug in 4.77-A22","","","","","","/rizzy/6083332FAZR000A22.jpg","/rizzy/6083332FAZR000A22.jpg","/rizzy/6083332FAZR000A22.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Azure Rug in 4.77-A22","simple","","","","57","75","22","48-Pile Height","Hand Knotted","","","4","","AZR000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083332FAZR000E10-E10","","Rizzy Azure Rug in 22-E10","Rizzy","3332F","","Use config","Use config","","654291701827","Running","","","22","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Azure Rug in 22-E10","","","","","","/rizzy/6083332FAZR000E10.jpg","/rizzy/6083332FAZR000E10.jpg","/rizzy/6083332FAZR000E10.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Azure Rug in 22-E10","simple","","","","257","337","99","96-Pile Height","Hand Knotted","","","8","","AZR000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083332FAZR000G99-G99","","Rizzy Azure Rug in 48.4-G99","Rizzy","3332F","","Use config","Use config","","654291701933","Running","","","48.4","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Azure Rug in 48.4-G99","","","","","","/rizzy/6083332FAZR000G99.jpg","/rizzy/6083332FAZR000G99.jpg","/rizzy/6083332FAZR000G99.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Azure Rug in 48.4-G99","simple","","","","517","684","199","132-Pile Height","Hand Knotted","","","8","","AZR000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083332FAZR000H13-H13","","Rizzy Azure Rug in 72.42-H13","Rizzy","3332F","","Use config","Use config","","654291702053","Running","","","72.42","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Azure Rug in 72.42-H13","","","","","","/rizzy/6083332FAZR000H13.jpg","/rizzy/6083332FAZR000H13.jpg","/rizzy/6083332FAZR000H13.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Azure Rug in 72.42-H13","simple","","","","819","1082","315","158-Pile Height","Hand Knotted","","","12","","AZR000"
"admin","0","Base","Rugs","simple","","","83,6","RIZZY-6083332FAZR000I71-I71","","Rizzy Azure Rug in 12.2-I71","Rizzy","3332F","","Use config","Use config","","654291702138","Running","","","12.2","2","TODO","0","1","0","0","1","1","1","0","1","1","","0","1","0","1","0","1","0","1","0","0","0","1","1","1","No","","","Rizzy Azure Rug in 12.2-I71","","","","","","/rizzy/6083332FAZR000I71.jpg","/rizzy/6083332FAZR000I71.jpg","/rizzy/6083332FAZR000I71.jpg","","Turkey","","","","","","","","","","","Home","","","","Drop Ship","14 Days","Yes","No","0","","1 column","container1","","","","","","","","Rizzy Azure Rug in 12.2-I71","simple","","","","143","189","55","94-Pile Height","Hand Knotted","","","8","","AZR000"
